
2024/04/08 (17:07:58) | ===> btop++ v.1.3.2
2024/04/08 (17:07:58) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/06/03 (02:12:44) | ===> btop++ v.1.3.2
2024/06/03 (02:12:44) | ERROR: failed getting network interfaces

2024/07/22 (15:22:03) | ===> btop++ v.1.3.2
2024/07/22 (15:22:03) | ERROR: Stall in Runner thread, restarting!
2024/07/22 (15:22:24) | ERROR: Stall in Runner thread, restarting!
2024/07/22 (15:22:41) | ERROR: Stall in Runner thread, restarting!
2024/07/22 (15:22:53) | ERROR: Stall in Runner thread, restarting!
2024/07/22 (15:23:01) | ERROR: Stall in Runner thread, restarting!
2024/07/22 (15:23:27) | ERROR: Stall in Runner thread, restarting!
2024/07/22 (15:23:34) | ERROR: Stall in Runner thread, restarting!
2024/07/22 (15:23:53) | ERROR: Stall in Runner thread, restarting!
2024/07/22 (15:24:00) | ERROR: Stall in Runner thread, restarting!
2024/07/22 (15:24:14) | ERROR: Stall in Runner thread, restarting!
2024/07/22 (15:29:50) | ERROR: Stall in Runner thread, restarting!
2024/07/22 (15:29:56) | ERROR: Stall in Runner thread, restarting!
2024/07/22 (15:30:08) | ERROR: Stall in Runner thread, restarting!
2024/07/22 (15:30:15) | ERROR: Stall in Runner thread, restarting!
2024/07/22 (15:31:46) | ERROR: Stall in Runner thread, restarting!

2024/07/26 (13:47:02) | ===> btop++ v.1.3.2
2024/07/26 (13:47:02) | ERROR: Stall in Runner thread, restarting!

2024/07/26 (20:51:41) | ===> btop++ v.1.3.2
2024/07/26 (20:51:41) | ERROR: Stall in Runner thread, restarting!

2024/07/28 (13:10:12) | ===> btop++ v.1.3.2
2024/07/28 (13:10:12) | ERROR: Stall in Runner thread, restarting!
2024/07/28 (13:10:18) | ERROR: Stall in Runner thread, restarting!
2024/07/28 (13:12:20) | ERROR: Stall in Runner thread, restarting!
2024/07/28 (13:12:59) | ERROR: Stall in Runner thread, restarting!
2024/07/28 (13:13:15) | ERROR: Stall in Runner thread, restarting!
2024/07/28 (13:16:51) | ERROR: Stall in Runner thread, restarting!
2024/07/28 (13:16:57) | ERROR: Stall in Runner thread, restarting!
2024/07/28 (13:17:20) | ERROR: Stall in Runner thread, restarting!
2024/07/28 (13:17:36) | ERROR: Stall in Runner thread, restarting!
2024/07/28 (13:18:15) | ERROR: Stall in Runner thread, restarting!
2024/07/28 (13:18:48) | ERROR: Stall in Runner thread, restarting!

2024/09/06 (17:38:24) | ===> btop++ v.1.3.2
2024/09/06 (17:38:24) | ERROR: failed getting network interfaces

2024/09/08 (09:16:48) | ===> btop++ v.1.3.2
2024/09/08 (09:16:48) | ERROR: failed getting network interfaces

2024/09/12 (00:15:42) | ===> btop++ v.1.3.2
2024/09/12 (00:15:42) | ERROR: failed getting network interfaces

2024/09/14 (00:48:52) | ===> btop++ v.1.3.2
2024/09/14 (00:48:52) | ERROR: failed getting network interfaces

2024/10/09 (22:12:43) | ===> btop++ v.1.3.2
2024/10/09 (22:12:43) | ERROR: failed getting network interfaces

2024/10/11 (11:50:00) | ===> btop++ v.1.3.2
2024/10/11 (11:50:00) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/10/16 (20:02:37) | ===> btop++ v.1.3.2
2024/10/16 (20:02:37) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/10/17 (15:17:24) | ===> btop++ v.1.4.0
2024/10/17 (15:17:24) | ERROR: Exception during Config::unlock() : unordered_map::at: key not found

2024/10/17 (15:58:16) | ===> btop++ v.1.4.0
2024/10/17 (15:58:16) | ERROR: Exception in runner thread -> Proc:: -> basic_string

2024/10/17 (16:43:15) | ===> btop++ v.1.4.0
2024/10/17 (16:43:15) | ERROR: Exception in runner thread -> Proc:: -> basic_string

2024/11/14 (16:35:42) | ===> btop++ v.1.4.0
2024/11/14 (16:35:42) | ERROR: failed getting network interfaces
2024/11/17 (21:13:16) | ERROR: failed getting network interfaces
2024/11/20 (12:12:06) | ERROR: failed getting network interfaces

2024/11/23 (16:22:33) | ===> btop++ v.1.4.0
2024/11/23 (16:22:33) | ERROR: Exception during Config::unlock() : unordered_map::at: key not found

2024/12/07 (18:32:54) | ===> btop++ v.1.4.0
2024/12/07 (18:32:54) | ERROR: failed getting network interfaces

2024/12/09 (20:25:51) | ===> btop++ v.1.4.0
2024/12/09 (20:25:51) | ERROR: Exception in runner thread -> Proc:: -> basic_string

2024/12/16 (22:19:34) | ===> btop++ v.1.4.0
2024/12/16 (22:19:34) | ERROR: failed getting network interfaces

2024/12/30 (11:08:29) | ===> btop++ v.1.4.0
2024/12/30 (11:08:29) | ERROR: Exception in runner thread -> Proc:: -> basic_string

2025/01/04 (12:22:02) | ===> btop++ v.1.4.0
2025/01/04 (12:22:02) | ERROR: Exception in runner thread -> Proc:: -> basic_string

2025/01/06 (11:40:27) | ===> btop++ v.1.4.0
2025/01/06 (11:40:27) | ERROR: Exception in runner thread -> Proc:: -> basic_string
